Screen ID,Screen name,Object ID,Source RU/EN,ZH (machine),Status
"diagnostic-filter-fail-copy","1-2-1 Diagnostic-lamps-process","canvas-diagnostic-filter-fail-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-lamp-process-copy","1-2-2 Diagnostic-lamps-success","canvas-diagnostic-lamp-process-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-lamp-process-copy","1-2-2 Diagnostic-lamps-success","canvas-diagnostic-lamp-process-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-lamp-process-copy","1-2-2 Diagnostic-lamps-success","canvas-diagnostic-lamp-process-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-lamp-process-copy","1-2-2 Diagnostic-lamps-success","canvas-diagnostic-lamp-process-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-lamp-process-copy","1-2-2 Diagnostic-lamps-success","canvas-diagnostic-lamp-process-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-lamp-process-copy","1-2-2 Diagnostic-lamps-success","canvas-diagnostic-lamp-process-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-lamp-success-copy","1-2-3 Diagnostic-lamps-fail","canvas-diagnostic-lamp-success-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-lamp-success-copy","1-2-3 Diagnostic-lamps-fail","canvas-diagnostic-lamp-success-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-lamp-success-copy","1-2-3 Diagnostic-lamps-fail","canvas-diagnostic-lamp-success-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-lamp-success-copy","1-2-3 Diagnostic-lamps-fail","canvas-diagnostic-lamp-success-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-lamp-success-copy","1-2-3 Diagnostic-lamps-fail","canvas-diagnostic-lamp-success-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-lamp-success-copy","1-2-3 Diagnostic-lamps-fail","canvas-diagnostic-lamp-success-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-lamp-fail-copy","1-3-1 Diagnostic-detector-process","canvas-diagnostic-lamp-fail-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-lamp-fail-copy","1-3-1 Diagnostic-detector-process","canvas-diagnostic-lamp-fail-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-lamp-fail-copy","1-3-1 Diagnostic-detector-process","canvas-diagnostic-lamp-fail-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-lamp-fail-copy","1-3-1 Diagnostic-detector-process","canvas-diagnostic-lamp-fail-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-lamp-fail-copy","1-3-1 Diagnostic-detector-process","canvas-diagnostic-lamp-fail-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-lamp-fail-copy","1-3-1 Diagnostic-detector-process","canvas-diagnostic-lamp-fail-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-lamp-fail-copy-copy","1-3-3 Diagnostic-detector-fail","canvas-diagnostic-lamp-fail-copy-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-lamp-fail-copy-copy","1-3-3 Diagnostic-detector-fail","canvas-diagnostic-lamp-fail-copy-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-lamp-fail-copy-copy","1-3-3 Diagnostic-detector-fail","canvas-diagnostic-lamp-fail-copy-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-lamp-fail-copy-copy","1-3-3 Diagnostic-detector-fail","canvas-diagnostic-lamp-fail-copy-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-lamp-fail-copy-copy","1-3-3 Diagnostic-detector-fail","canvas-diagnostic-lamp-fail-copy-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-lamp-fail-copy-copy","1-3-3 Diagnostic-detector-fail","canvas-diagnostic-lamp-fail-copy-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-detector-process-copy","1-3-2 Diagnostic-detector-success","canvas-diagnostic-detector-process-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-detector-process-copy","1-3-2 Diagnostic-detector-success","canvas-diagnostic-detector-process-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-detector-process-copy","1-3-2 Diagnostic-detector-success","canvas-diagnostic-detector-process-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-detector-process-copy","1-3-2 Diagnostic-detector-success","canvas-diagnostic-detector-process-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-detector-process-copy","1-3-2 Diagnostic-detector-success","canvas-diagnostic-detector-process-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-detector-process-copy","1-3-2 Diagnostic-detector-success","canvas-diagnostic-detector-process-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-detector-fail-copy","1-4-1 Diagnostic-W-lamp-process","canvas-diagnostic-detector-fail-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-detector-fail-copy","1-4-1 Diagnostic-W-lamp-process","canvas-diagnostic-detector-fail-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-detector-fail-copy","1-4-1 Diagnostic-W-lamp-process","canvas-diagnostic-detector-fail-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-detector-fail-copy","1-4-1 Diagnostic-W-lamp-process","canvas-diagnostic-detector-fail-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-detector-fail-copy","1-4-1 Diagnostic-W-lamp-process","canvas-diagnostic-detector-fail-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-detector-fail-copy","1-4-1 Diagnostic-W-lamp-process","canvas-diagnostic-detector-fail-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-w-lamp-process-copy","1-4-2 Diagnostic-W-lamp-success","canvas-diagnostic-w-lamp-process-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-w-lamp-process-copy","1-4-2 Diagnostic-W-lamp-success","canvas-diagnostic-w-lamp-process-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-w-lamp-process-copy","1-4-2 Diagnostic-W-lamp-success","canvas-diagnostic-w-lamp-process-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-w-lamp-process-copy","1-4-2 Diagnostic-W-lamp-success","canvas-diagnostic-w-lamp-process-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-w-lamp-process-copy","1-4-2 Diagnostic-W-lamp-success","canvas-diagnostic-w-lamp-process-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-w-lamp-process-copy","1-4-2 Diagnostic-W-lamp-success","canvas-diagnostic-w-lamp-process-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-w-lamp-process-copy-copy","1-4-3 Diagnostic-W-lamp-fail","canvas-diagnostic-w-lamp-process-copy-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-w-lamp-process-copy-copy","1-4-3 Diagnostic-W-lamp-fail","canvas-diagnostic-w-lamp-process-copy-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-w-lamp-process-copy-copy","1-4-3 Diagnostic-W-lamp-fail","canvas-diagnostic-w-lamp-process-copy-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-w-lamp-process-copy-copy","1-4-3 Diagnostic-W-lamp-fail","canvas-diagnostic-w-lamp-process-copy-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-w-lamp-process-copy-copy","1-4-3 Diagnostic-W-lamp-fail","canvas-diagnostic-w-lamp-process-copy-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-w-lamp-process-copy-copy","1-4-3 Diagnostic-W-lamp-fail","canvas-diagnostic-w-lamp-process-copy-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-w-lamp-fail-copy","1-5-1 Diagnostic-D2-lamp-process","canvas-diagnostic-w-lamp-fail-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-w-lamp-fail-copy","1-5-1 Diagnostic-D2-lamp-process","canvas-diagnostic-w-lamp-fail-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-w-lamp-fail-copy","1-5-1 Diagnostic-D2-lamp-process","canvas-diagnostic-w-lamp-fail-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-w-lamp-fail-copy","1-5-1 Diagnostic-D2-lamp-process","canvas-diagnostic-w-lamp-fail-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-w-lamp-fail-copy","1-5-1 Diagnostic-D2-lamp-process","canvas-diagnostic-w-lamp-fail-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-w-lamp-fail-copy","1-5-1 Diagnostic-D2-lamp-process","canvas-diagnostic-w-lamp-fail-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-d2-lamp-process-copy","1-5-2 Diagnostic-D2-lamp-success","canvas-diagnostic-d2-lamp-process-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-d2-lamp-process-copy","1-5-2 Diagnostic-D2-lamp-success","canvas-diagnostic-d2-lamp-process-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-d2-lamp-process-copy","1-5-2 Diagnostic-D2-lamp-success","canvas-diagnostic-d2-lamp-process-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-d2-lamp-process-copy","1-5-2 Diagnostic-D2-lamp-success","canvas-diagnostic-d2-lamp-process-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-d2-lamp-process-copy","1-5-2 Diagnostic-D2-lamp-success","canvas-diagnostic-d2-lamp-process-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-d2-lamp-process-copy","1-5-2 Diagnostic-D2-lamp-success","canvas-diagnostic-d2-lamp-process-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-d2-lamp-success-copy","1-5-3 Diagnostic-D2-lamp-fail","canvas-diagnostic-d2-lamp-success-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-d2-lamp-success-copy","1-5-3 Diagnostic-D2-lamp-fail","canvas-diagnostic-d2-lamp-success-copy-text-2","Светофильтры","滤光片","machine-review-required"
"diagnostic-d2-lamp-success-copy","1-5-3 Diagnostic-D2-lamp-fail","canvas-diagnostic-d2-lamp-success-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-d2-lamp-success-copy","1-5-3 Diagnostic-D2-lamp-fail","canvas-diagnostic-d2-lamp-success-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-d2-lamp-success-copy","1-5-3 Diagnostic-D2-lamp-fail","canvas-diagnostic-d2-lamp-success-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-d2-lamp-success-copy","1-5-3 Diagnostic-D2-lamp-fail","canvas-diagnostic-d2-lamp-success-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-d2-lamp-fail-copy","1-6-1 Diagnostic-calibr wl-process","canvas-diagnostic-d2-lamp-fail-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-d2-lamp-fail-copy","1-6-1 Diagnostic-calibr wl-process","canvas-diagnostic-d2-lamp-fail-copy-text-3","W-лампа","W灯","machine-review-required"
"diagnostic-d2-lamp-fail-copy","1-6-1 Diagnostic-calibr wl-process","canvas-diagnostic-d2-lamp-fail-copy-text-4","Лампы","灯具","machine-review-required"
"diagnostic-d2-lamp-fail-copy","1-6-1 Diagnostic-calibr wl-process","canvas-diagnostic-d2-lamp-fail-copy-text-5","D2-лампа","D2灯","machine-review-required"
"diagnostic-d2-lamp-fail-copy","1-6-1 Diagnostic-calibr wl-process","canvas-diagnostic-d2-lamp-fail-copy-text-6","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-d2-lamp-fail-copy","1-6-1 Diagnostic-calibr wl-process","canvas-diagnostic-d2-lamp-fail-copy-text-1781620597568","Калибровка λ","校准λ","machine-review-required"
"diagnostic-calibr-wl-process-copy","1-6-2 Diagnostic-calibr wl-success","canvas-diagnostic-calibr-wl-process-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-calibr-wl-process-copy","1-6-2 Diagnostic-calibr wl-success","canvas-diagnostic-calibr-wl-process-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-calibr-wl-process-copy","1-6-2 Diagnostic-calibr wl-success","canvas-diagnostic-calibr-wl-process-copy-text-3","Лампы","灯具","machine-review-required"
"diagnostic-calibr-wl-process-copy","1-6-2 Diagnostic-calibr wl-success","canvas-diagnostic-calibr-wl-process-copy-text-4","D2-лампа","D2灯","machine-review-required"
"diagnostic-calibr-wl-process-copy","1-6-2 Diagnostic-calibr wl-success","canvas-diagnostic-calibr-wl-process-copy-text-5","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-calibr-wl-process-copy","1-6-2 Diagnostic-calibr wl-success","canvas-diagnostic-calibr-wl-process-copy-text-19","Калибровка λ","校准λ","machine-review-required"
"diagnostic-calibr-wl-success-copy","1-6-3 Diagnostic-calibr wl-fail","canvas-diagnostic-calibr-wl-success-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-calibr-wl-success-copy","1-6-3 Diagnostic-calibr wl-fail","canvas-diagnostic-calibr-wl-success-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-calibr-wl-success-copy","1-6-3 Diagnostic-calibr wl-fail","canvas-diagnostic-calibr-wl-success-copy-text-3","Лампы","灯具","machine-review-required"
"diagnostic-calibr-wl-success-copy","1-6-3 Diagnostic-calibr wl-fail","canvas-diagnostic-calibr-wl-success-copy-text-4","D2-лампа","D2灯","machine-review-required"
"diagnostic-calibr-wl-success-copy","1-6-3 Diagnostic-calibr wl-fail","canvas-diagnostic-calibr-wl-success-copy-text-5","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-calibr-wl-success-copy","1-6-3 Diagnostic-calibr wl-fail","canvas-diagnostic-calibr-wl-success-copy-text-19","Калибровка λ","校准λ","machine-review-required"
"diagnostic-calibr-wl-fail-copy","1-7-1 Diagnostic-system-process","canvas-diagnostic-calibr-wl-fail-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-calibr-wl-fail-copy","1-7-1 Diagnostic-system-process","canvas-diagnostic-calibr-wl-fail-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-calibr-wl-fail-copy","1-7-1 Diagnostic-system-process","canvas-diagnostic-calibr-wl-fail-copy-text-4","D2-лампа","D2灯","machine-review-required"
"diagnostic-calibr-wl-fail-copy","1-7-1 Diagnostic-system-process","canvas-diagnostic-calibr-wl-fail-copy-text-5","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-calibr-wl-fail-copy","1-7-1 Diagnostic-system-process","canvas-diagnostic-calibr-wl-fail-copy-text-19","Калибровка λ","校准λ","machine-review-required"
"diagnostic-calibr-wl-fail-copy","1-7-1 Diagnostic-system-process","canvas-diagnostic-calibr-wl-fail-copy-text-1781621383344","Система","系统","machine-review-required"
"diagnostic-system-process-copy","1-7-2 Diagnostic-system-success","canvas-diagnostic-system-process-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-system-process-copy","1-7-2 Diagnostic-system-success","canvas-diagnostic-system-process-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-system-process-copy","1-7-2 Diagnostic-system-success","canvas-diagnostic-system-process-copy-text-3","D2-лампа","D2灯","machine-review-required"
"diagnostic-system-process-copy","1-7-2 Diagnostic-system-success","canvas-diagnostic-system-process-copy-text-4","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-system-process-copy","1-7-2 Diagnostic-system-success","canvas-diagnostic-system-process-copy-text-18","Калибровка λ","校准λ","machine-review-required"
"diagnostic-system-process-copy","1-7-2 Diagnostic-system-success","canvas-diagnostic-system-process-copy-text-20","Система","系统","machine-review-required"
"diagnostic-system-success-copy","1-7-3 Diagnostic-system-fail","canvas-diagnostic-system-success-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-system-success-copy","1-7-3 Diagnostic-system-fail","canvas-diagnostic-system-success-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-system-success-copy","1-7-3 Diagnostic-system-fail","canvas-diagnostic-system-success-copy-text-3","D2-лампа","D2灯","machine-review-required"
"diagnostic-system-success-copy","1-7-3 Diagnostic-system-fail","canvas-diagnostic-system-success-copy-text-4","Фотодетектор","光电探测器","machine-review-required"
"diagnostic-system-success-copy","1-7-3 Diagnostic-system-fail","canvas-diagnostic-system-success-copy-text-18","Калибровка λ","校准λ","machine-review-required"
"diagnostic-system-success-copy","1-7-3 Diagnostic-system-fail","canvas-diagnostic-system-success-copy-text-20","Система","系统","machine-review-required"
"diagnostic-system-success-copy-copy","1-8-1 Diagnostic-dark_current-proccess","canvas-diagnostic-system-success-copy-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-system-success-copy-copy","1-8-1 Diagnostic-dark_current-proccess","canvas-diagnostic-system-success-copy-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-system-success-copy-copy","1-8-1 Diagnostic-dark_current-proccess","canvas-diagnostic-system-success-copy-copy-text-3","D2-лампа","D2灯","machine-review-required"
"diagnostic-system-success-copy-copy","1-8-1 Diagnostic-dark_current-proccess","canvas-diagnostic-system-success-copy-copy-text-18","Калибровка λ","校准λ","machine-review-required"
"diagnostic-system-success-copy-copy","1-8-1 Diagnostic-dark_current-proccess","canvas-diagnostic-system-success-copy-copy-text-20","Система","系统","machine-review-required"
"diagnostic-system-success-copy-copy","1-8-1 Diagnostic-dark_current-proccess","canvas-diagnostic-system-success-copy-copy-text-1781621619536","Темновой ток","暗电流","machine-review-required"
"diagnostic-dark-current-proccess-copy","1-8-2 Diagnostic-dark_current-success","canvas-diagnostic-dark-current-proccess-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-dark-current-proccess-copy","1-8-2 Diagnostic-dark_current-success","canvas-diagnostic-dark-current-proccess-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-dark-current-proccess-copy","1-8-2 Diagnostic-dark_current-success","canvas-diagnostic-dark-current-proccess-copy-text-3","D2-лампа","D2灯","machine-review-required"
"diagnostic-dark-current-proccess-copy","1-8-2 Diagnostic-dark_current-success","canvas-diagnostic-dark-current-proccess-copy-text-17","Калибровка λ","校准λ","machine-review-required"
"diagnostic-dark-current-proccess-copy","1-8-2 Diagnostic-dark_current-success","canvas-diagnostic-dark-current-proccess-copy-text-19","Система","系统","machine-review-required"
"diagnostic-dark-current-proccess-copy","1-8-2 Diagnostic-dark_current-success","canvas-diagnostic-dark-current-proccess-copy-text-20","Темновой ток","暗电流","machine-review-required"
"diagnostic-dark-current-success-copy","1-8-3 Diagnostic-dark_current-fail","canvas-diagnostic-dark-current-success-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-dark-current-success-copy","1-8-3 Diagnostic-dark_current-fail","canvas-diagnostic-dark-current-success-copy-text-2","W-лампа","W灯","machine-review-required"
"diagnostic-dark-current-success-copy","1-8-3 Diagnostic-dark_current-fail","canvas-diagnostic-dark-current-success-copy-text-3","D2-лампа","D2灯","machine-review-required"
"diagnostic-dark-current-success-copy","1-8-3 Diagnostic-dark_current-fail","canvas-diagnostic-dark-current-success-copy-text-17","Калибровка λ","校准λ","machine-review-required"
"diagnostic-dark-current-success-copy","1-8-3 Diagnostic-dark_current-fail","canvas-diagnostic-dark-current-success-copy-text-19","Система","系统","machine-review-required"
"diagnostic-dark-current-success-copy","1-8-3 Diagnostic-dark_current-fail","canvas-diagnostic-dark-current-success-copy-text-20","Темновой ток","暗电流","machine-review-required"
"diagnostic-dark-current-fail-copy","1-9-1 Diagnostic-warming","canvas-diagnostic-dark-current-fail-copy-text-1","Диагностика","诊断","machine-review-required"
"diagnostic-dark-current-fail-copy","1-9-1 Diagnostic-warming","canvas-diagnostic-dark-current-fail-copy-text-1781621991729","Прогрев","热身","machine-review-required"
"diagnostic-dark-current-fail-copy","1-9-1 Diagnostic-warming","canvas-diagnostic-dark-current-fail-copy-text-1781622037921","Нажмите любую кнопку","按任意按钮","machine-review-required"
"diagnostic-dark-current-fail-copy","1-9-1 Diagnostic-warming","canvas-diagnostic-dark-current-fail-copy-text-1781622117297","для пропуска","通行证","machine-review-required"
"diagnostic-dark-current-fail-copy","1-9-1 Diagnostic-warming","canvas-diagnostic-dark-current-fail-copy-text-1781622191733","16:55","16:55","machine-review-required"
"diagnostic-warming-copy","2-1-1 Main menu-select-photometry","canvas-diagnostic-warming-copy-text-1","Главное меню","主菜单","machine-review-required"
"diagnostic-warming-copy","2-1-1 Main menu-select-photometry","canvas-diagnostic-warming-copy-text-6","Фотометрия","光度测定","machine-review-required"
"diagnostic-warming-copy","2-1-1 Main menu-select-photometry","canvas-diagnostic-warming-copy-text-1781622528245","Количеств. анализ","数量分析","machine-review-required"
"diagnostic-warming-copy","2-1-1 Main menu-select-photometry","canvas-diagnostic-warming-copy-text-1781622655488","Многоволновой режим","多波模式","machine-review-required"
"diagnostic-warming-copy","2-1-1 Main menu-select-photometry","canvas-diagnostic-warming-copy-text-1781622820413","Кинетика","动力学","machine-review-required"
"diagnostic-warming-copy","2-1-1 Main menu-select-photometry","canvas-diagnostic-warming-copy-text-1781622890204","Настройки","设置","machine-review-required"
